Time [s], Left [V], Right [V]
4.999977, -0.009702, 0.000000
0.000000, 0.007995, 0.008099
0.000023, 0.008099, 0.007937
0.000045, 0.007937, 0.007824
0.000068, 0.007824, 0.007660
0.000091, 0.007660, 0.007599
0.000113, 0.007599, 0.007475
0.000136, 0.007475, 0.007122
0.000159, 0.007122, 0.006836
0.000181, 0.006836, 0.006445
0.000204, 0.006445, 0.005983
0.000227, 0.005983, 0.005626
0.000249, 0.005626, 0.005275
0.000272, 0.005275, 0.005016
0.000295, 0.005016, 0.004761
0.000317, 0.004761, 0.004293
0.000340, 0.004293, 0.003841
0.000363, 0.003841, 0.003427
0.000385, 0.003427, 0.003381
0.000408, 0.003381, 0.003289
0.000431, 0.003289, 0.002883
0.000454, 0.002883, 0.002944
0.000476, 0.002944, 0.002907
0.000499, 0.002907, 0.002685
0.000522, 0.002685, 0.002779
0.000544, 0.002779, 0.002904
0.000567, 0.002904, 0.002858
0.000590, 0.002858, 0.002912
0.000612, 0.002912, 0.003140
0.000635, 0.003140, 0.003286
0.000658, 0.003286, 0.003237
0.000680, 0.003237, 0.003189
0.000703, 0.003189, 0.003427
0.000726, 0.003427, 0.003659
0.000748, 0.003659, 0.003892
0.000771, 0.003892, 0.004129
0.000794, 0.004129, 0.004244
0.000816, 0.004244, 0.004334
0.000839, 0.004334, 0.004588
0.000862, 0.004588, 0.005168
0.000884, 0.005168, 0.005575
0.000907, 0.005575, 0.005689
0.000930, 0.005689, 0.005859
0.000952, 0.005859, 0.005981
0.000975, 0.005981, 0.006301
0.000998, 0.006301, 0.006737
0.001020, 0.006737, 0.006777
0.001043, 0.006777, 0.007077
0.001066, 0.007077, 0.007339
0.001088, 0.007339, 0.007273
0.001111, 0.007273, 0.007395
0.001134, 0.007395, 0.007492
0.001156, 0.007492, 0.007489
0.001179, 0.007489, 0.007133
0.001202, 0.007133, 0.006713
0.001224, 0.006713, 0.006440
0.001247, 0.006440, 0.006143
0.001270, 0.006143, 0.005708
0.001293, 0.005708, 0.005549
0.001315, 0.005549, 0.005428
0.001338, 0.005428, 0.004769
0.001361, 0.004769, 0.004404
0.001383, 0.004404, 0.004066
0.001406, 0.004066, 0.003534
0.001429, 0.003534, 0.003144
0.001451, 0.003144, 0.002919
0.001474, 0.002919, 0.002599
0.001497, 0.002599, 0.001870
0.001519, 0.001870, 0.001389
0.001542, 0.001389, 0.001353
0.001565, 0.001353, 0.001087
0.001587, 0.001087, 0.000656
0.001610, 0.000656, 0.000636
0.001633, 0.000636, 0.000409
0.001655, 0.000409, -0.000267
